clade	order	ts	te
0	1	2022	2025
0	2	2022	2025
0	3	2022	2025
0	4	2022	2025
0	5	2022	2025
0	6	2022	2025
0	7	2021	2025
0	8	2020	2025
0	9	2020	2025
0	10	2020	2024
0	11	2019	2025
0	12	2019	2025
0	13	2019	2025
0	14	2019	2025
0	15	2019	2025
0	16	2019	2025
0	17	2018	2025
0	18	2018	2025
0	19	2018	2024
0	20	2018	2024
0	21	2018	2024
0	22	2018	2024
0	23	2018	2025
0	24	2018	2025
0	25	2018	2025
0	26	2018	2025
0	27	2018	2025
0	28	2018	2025
0	29	2022	2025
0	30	2022	2025
0	31	2022	2025
0	32	2022	2025
0	33	2022	2025
0	34	2022	2025
0	35	2020	2025
0	36	2020	2025
0	37	2020	2024
0	38	2021	2025
0	39	2021	2025
0	40	2021	2025
0	41	2021	2025
0	42	2021	2025
0	43	2018	2025
0	44	2019	2025
0	45	2019	2024
0	46	2020	2025
0	47	2019	2025
0	48	2019	2025
0	49	2019	2024
0	50	2018	2025
0	51	2017	2025
0	52	2022	2025
0	53	2022	2024
0	54	2022	2025
0	55	2022	2025
0	56	2021	2025
0	57	2021	2025
0	58	2021	2025
0	59	2021	2024
0	60	2021	2025
0	62	2019	2023
0	63	2019	2024
0	65	2018	2025
0	66	2018	2024
0	67	2022	2024
0	68	2022	2025
0	69	2022	2025
0	70	2022	2025
0	71	2022	2025
0	72	2022	2025
0	73	2022	2024
0	74	2021	2025
0	75	2020	2025
0	76	2020	2025
0	77	2020	2025
0	78	2020	2024
0	79	2019	2025
0	80	2019	2023
0	81	2019	2025
0	82	2019	2025
0	83	2019	2025
0	85	2019	2023
0	86	2018	2023
0	96	2018	2024
0	97	2018	2024
0	99	2018	2025
0	101	2023	2025
0	102	2023	2025
0	103	2023	2025
0	104	2023	2025
0	105	2023	2025
0	106	2023	2025
0	107	2023	2024
0	108	2023	2025
0	109	2023	2025
0	110	2018	2024
0	111	2018	2024
0	112	2017	2024
0	113	2017	2025
0	114	2017	2020
0	115	2023	2025
0	116	2022	2025
0	117	2023	2025
0	118	2023	2024
